Data Dictionary - Column Information,,,,,,,,,,,,,,,,,,,,,,,
Column Name,Column Description,Expected/Allowed Values,Field Limitations,Additional Notes,,,,,,,,,,,,,,,,,,,
Name of the column exactly as it appears in the dataset.,"A brief, plain-language explanation of what the data in the column means. ","Specifies if there is an expected range and/or format of possible values. For example, if the data type is Date & Time, this field will note whether the timestamp is MM/DD/YYYY or MM/YYYY. If the Column Name is ice cream, this field might note that values can be Chocolate, Vanilla or Strawberry.

If relevant, this field specifies the unit of measurement of the data field, e.g. thousands, millions, $ value, miles, feet, year, etc.","Describes any unique characteristics or potential analytical limitations presented by this field, including: 
- the reasoning for any null, zero, or empty values in the data
- if the data in the column was integrated from another dataset or organization
- if the data covered includes a different time period
- the source of the column and how the data in the column was generated. 

For example, information on how the data in this column was generated can include  whether the data was self-reported directly by a person, system generated by a database or agency system, derived through analytical manipulation of other fields or records; or obtained from a different agency.","Provides any additional relevant information about the data in the column, including: 
- definitions of acronyms, special term or codes, or jargon that appears in the field values;
- the meaning of confusing or non-intuitive values in the data; 
- how the information in this column relates to information in other columns;
- other unique details about this column.",,,,,,,,,,,,,,,,,,,
Project ID,The Project ID is a unique numeric identifier assigned to each project by HPD.,,Data Type: Plain Text,,,,,,,,,,,,,,,,,,,,
Project Name,The Project Name is the name assigned to the project by HPD.,,Data Type: Plain Text,Certain types of projects to assist homeowners or special populations are marked as “CONFIDENTIAL”.,,,,,,,,,,,,,,,,,,,
Program Group,"The broadened program category for a project, which is based on the project’s primary program.","Homeowner Assistance Program: Programs that provide homeowner assistance for repairs, down payments, and mortgages.
Multifamily Finance Program: Programs that provide loans/financing for new construction or rehabilitation of multifamily projects.
Multifamily Incentives Program: Programs that provide financial incentives in exchange for multifamily construction/preservation projects.
Sandy Program: Programs related to Sandy Multifamily Program.
Small Homes Program: Programs relating to building or preserving small homes.",Data Type: Plain Text,,,,,,,,,,,,,,,,,,,,
Project Start Date,The Project Start Date is the date of the project loan or agreement closing.,,Data Type: Date & Time,,,,,,,,,,,,,,,,,,,,
Project Completion Date,The Project Completion Date is the date that the last building in the project was completed.,,Data Type: Date & Time,"If the project has not yet completed, then the field is blank.",,,,,,,,,,,,,,,,,,,
Building ID,The Building ID is a unique numeric identifier assigned to each building by HPD.,,Data Type: Plain Text,Building IDs for Confidential projects are masked.,,,,,,,,,,,,,,,,,,,
House Number,The House Number is the street number in the building’s address.,,Data Type: Number,"E.g., the house number is ‘100’ in ‘100 Gold Street.’ Note: address information for Confidential projects are masked.",,,,,,,,,,,,,,,,,,,
Street Name,The Street Name is the name of the street in the building’s address.,,Data Type: Plain Text,"E.g., the street name is ‘Gold Street’ in ‘100 Gold Street.’ Note: address information for Confidential projects are masked.",,,,,,,,,,,,,,,,,,,
Borough,The Borough is the borough where the building is located.,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",Data Type: Plain Text,,,,,,,,,,,,,,,,,,,,
Postcode,The Postcode is the postcode where the building is located.,,Data Type: Number,,,,,,,,,,,,,,,,,,,,
BBL,"The BBL (Borough, Block, and Lot) is a unique identifier for each tax lot in the City.",,Data Type: Number,,,,,,,,,,,,,,,,,,,,
BIN,The BIN (Building Identification Number) is a unique identifier for each building in the City. ,,Data Type: Number,,,,,,,,,,,,,,,,,,,,
Community Board,The Community Board field indicates the New York City Community District where the building is located.,1-18,Data Type: Number,,,,,,,,,,,,,,,,,,,,
Council District,The Council District field indicates the New York City Council District where the building is located.,1-51,Data Type: Number,,,,,,,,,,,,,,,,,,,,
Census Tract,The Census Tract field indicates the 2010 U.S. Census Tract where the building is located.,,Data Type: Number,,,,,,,,,,,,,,,,,,,,
NTA -  Neighborhood Tabulation Area,The Neighborhood Tabulation Area field indicates the New York City Neighborhood Tabulation Area where the building is located.,,Data Type: Plain Text,,,,,,,,,,,,,,,,,,,,
Latitude,The Latitude and Longitude specify the location of the property on the earth’s surface. The coordinates provided are an estimate of the location based on the street segment and address range. ,,Data Type: Plain Text,,,,,,,,,,,,,,,,,,,,
Longitude,The Latitude and Longitude specify the location of the property on the earth’s surface. The coordinates provided are an estimate of the location based on the street segment and address range. ,,Data Type: Plain Text,,,,,,,,,,,,,,,,,,,,
